time,latitude,longitude,value
2022-10-01,34.625,19.375008,-0.06
2022-10-01,34.625,19.624992,-0.06
2022-10-01,34.625,19.875008,-0.06
2022-10-01,34.625,20.124992,-0.06
2022-10-01,34.625,20.375008,-0.06
2022-10-01,34.625,20.624992,-0.14
2022-10-01,34.625,20.875008,-0.14
2022-10-01,34.625,21.124992,-0.14
2022-10-01,34.625,21.375008,-0.64
2022-10-01,34.625,21.624992,-0.64
2022-10-01,34.625,21.875008,0.39
2022-10-01,34.625,22.124992,-0.08
2022-10-01,34.625,22.375008,-0.08
2022-10-01,34.625,22.624992,-0.08
2022-10-01,34.625,22.875008,-0.08
2022-10-01,34.625,23.124992,0.33
2022-10-01,34.625,23.375008,0.33
2022-10-01,34.625,23.624992,0.33
2022-10-01,34.625,23.875008,0.33
2022-10-01,34.625,24.124992,0.57
2022-10-01,34.625,24.375008,0.57
2022-10-01,34.625,24.624992,0.57
2022-10-01,34.625,24.875008,-0.3
2022-10-01,34.625,25.124992,0.4
2022-10-01,34.625,25.375008,0.4
2022-10-01,34.625,25.624992,0.4
2022-10-01,34.625,25.875008,-0.39
2022-10-01,34.625,26.124992,-0.39
2022-10-01,34.625,26.375008,-0.08
2022-10-01,34.625,26.624992,-0.1
2022-10-01,34.625,26.875008,-0.1
2022-10-01,34.625,27.124992,0.15
2022-10-01,34.625,27.375008,0.15
2022-10-01,34.625,27.624992,-0.35
2022-10-01,34.625,27.875008,-0.35
2022-10-01,34.625,28.124992,0.07
2022-10-01,34.625,28.375008,0.02
2022-10-01,34.625,28.624992,-0.28
2022-10-01,34.875,19.375008,0.09
2022-10-01,34.875,19.624992,0.09
2022-10-01,34.875,19.875008,0.09
2022-10-01,34.875,20.124992,0.09
2022-10-01,34.875,20.375008,0.09
2022-10-01,34.875,20.624992,-0.09
2022-10-01,34.875,20.875008,-0.09
2022-10-01,34.875,21.124992,-0.09
2022-10-01,34.875,21.375008,0.02
2022-10-01,34.875,21.624992,0.02
2022-10-01,34.875,21.875008,0.32
2022-10-01,34.875,22.124992,0.32
2022-10-01,34.875,22.375008,0.32
2022-10-01,34.875,22.624992,0.32
2022-10-01,34.875,22.875008,0.13
2022-10-01,34.875,23.124992,0.19
2022-10-01,34.875,23.375008,0.19
2022-10-01,34.875,23.624992,0.19
2022-10-01,34.875,23.875008,0.37
2022-10-01,34.875,24.124992,-0.48
2022-10-01,34.875,24.375008,-0.48
2022-10-01,34.875,24.624992,-0.48
2022-10-01,34.875,24.875008,-0.3
2022-10-01,34.875,25.124992,-0.3
2022-10-01,34.875,25.375008,-0.3
2022-10-01,34.875,25.624992,0.05
2022-10-01,34.875,25.875008,0.03
2022-10-01,34.875,26.124992,0.03
2022-10-01,34.875,26.375008,0.14
2022-10-01,34.875,26.624992,0.14
2022-10-01,34.875,26.875008,-0.31
2022-10-01,34.875,27.124992,-0.08
2022-10-01,34.875,27.375008,-0.08
2022-10-01,34.875,27.624992,-0.2
2022-10-01,34.875,27.875008,-0.2
2022-10-01,34.875,28.124992,0.19
2022-10-01,34.875,28.375008,0.19
2022-10-01,34.875,28.624992,-0.33
2022-10-01,35.125,19.124992,0.02
2022-10-01,35.125,19.375008,0.34
2022-10-01,35.125,19.624992,0.34
2022-10-01,35.125,19.875008,0.34
2022-10-01,35.125,20.124992,0.34
2022-10-01,35.125,20.375008,0.07
2022-10-01,35.125,20.624992,0.07
2022-10-01,35.125,20.875008,0.07
2022-10-01,35.125,21.124992,0.07
2022-10-01,35.125,21.375008,-0.43
2022-10-01,35.125,21.624992,0.31
2022-10-01,35.125,21.875008,0.23
2022-10-01,35.125,22.124992,0.23
2022-10-01,35.125,22.375008,0.23
2022-10-01,35.125,22.624992,0.23
2022-10-01,35.125,22.875008,0.13
2022-10-01,35.125,23.124992,0.41
2022-10-01,35.125,23.375008,0.41
2022-10-01,35.125,23.624992,0.41
2022-10-01,35.125,23.875008,0.37
2022-10-01,35.125,24.124992,0.37
2022-10-01,35.125,24.375008,0.37
2022-10-01,35.125,24.624992,0.37
2022-10-01,35.125,24.875008,0.59
2022-10-01,35.125,25.124992,0.59
2022-10-01,35.125,25.375008,0.59
2022-10-01,35.125,25.624992,-0.36
2022-10-01,35.125,25.875008,-0.36
2022-10-01,35.125,26.124992,-0.36
2022-10-01,35.125,26.375008,-0.19
2022-10-01,35.125,26.624992,-0.19
2022-10-01,35.125,26.875008,0.75
2022-10-01,35.125,27.124992,0.75
2022-10-01,35.125,27.375008,-0.75
2022-10-01,35.125,27.624992,0.49
2022-10-01,35.125,27.875008,0.0
2022-10-01,35.125,28.124992,0.55
2022-10-01,35.125,28.375008,-0.09
2022-10-01,35.125,28.624992,-0.17
2022-10-01,35.375,19.124992,-0.16
2022-10-01,35.375,19.375008,-0.16
2022-10-01,35.375,19.624992,-0.16
2022-10-01,35.375,19.875008,-0.16
2022-10-01,35.375,20.124992,-0.16
2022-10-01,35.375,20.375008,-0.45
2022-10-01,35.375,20.624992,-0.45
2022-10-01,35.375,20.875008,-0.45
2022-10-01,35.375,21.124992,-0.45
2022-10-01,35.375,21.375008,-0.32
2022-10-01,35.375,21.624992,0.31
2022-10-01,35.375,21.875008,0.31
2022-10-01,35.375,22.124992,0.31
2022-10-01,35.375,22.375008,0.31
2022-10-01,35.375,22.624992,0.31
2022-10-01,35.375,22.875008,0.22
2022-10-01,35.375,23.124992,0.22
2022-10-01,35.375,23.375008,0.22
2022-10-01,35.375,23.624992,0.62
2022-10-01,35.375,23.875008,0.04
2022-10-01,35.375,24.124992,0.04
2022-10-01,35.375,24.375008,0.04
2022-10-01,35.375,24.624992,0.08
2022-10-01,35.375,24.875008,0.18
2022-10-01,35.375,25.124992,0.18
2022-10-01,35.375,25.375008,-0.18
2022-10-01,35.375,25.624992,-0.2
2022-10-01,35.375,25.875008,-0.2
2022-10-01,35.375,26.124992,-0.36
2022-10-01,35.375,26.375008,-0.36
2022-10-01,35.375,26.624992,-0.36
2022-10-01,35.375,26.875008,0.12
2022-10-01,35.375,27.124992,0.12
2022-10-01,35.375,27.375008,0.29
2022-10-01,35.375,27.624992,0.29
2022-10-01,35.375,27.875008,0.0
2022-10-01,35.375,28.124992,0.0
2022-10-01,35.375,28.375008,-0.09
2022-10-01,35.375,28.624992,-0.09
